PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2017,40,1.25645,1.27389,3831,2463,X,4532,1030,866,12722,2203,998676
National,X,2017,41,1.2976,1.32774,4110,2657,X,4440,1054,946,13207,2230,994697
National,X,2017,42,1.3275,1.40242,4402,2788,X,4962,1104,970,14226,2249,1014391
National,X,2017,43,1.5054,1.56718,4988,2891,X,5484,1283,1047,15693,2243,1001352
National,X,2017,44,1.73564,1.69812,5210,3262,X,6081,1326,1057,16936,2199,997336
National,X,2017,45,1.87526,1.85374,6097,3554,X,6588,1476,1104,18819,2261,1015192
National,X,2017,46,2.03523,2.05381,6839,4162,X,7467,1753,1350,21571,2270,1050290
National,X,2017,47,2.27773,2.32116,6863,3782,X,5805,1671,1414,19535,2243,841605
National,X,2017,48,2.26216,2.23512,6939,5148,X,7338,2166,1815,23406,2243,1047194
National,X,2017,49,2.57488,2.48321,7146,4945,X,8320,2282,1826,24519,2233,987392
National,X,2017,50,3.35101,3.19635,8186,6553,X,11083,2882,2305,31009,2222,970138
National,X,2017,51,4.75629,4.43103,10276,9675,X,13917,4505,3687,42060,2155,949215
National,X,2017,52,5.67674,5.42869,11097,11226,X,11281,5556,4958,44118,2066,812682
National,X,2018,1,5.75283,5.36486,9253,13156,X,11451,6730,5793,46383,2161,864570
National,X,2018,2,5.92525,5.5692,9721,15111,X,16722,7548,5952,55054,2114,988545
National,X,2018,3,6.51565,6.38285,11239,15575,X,20394,7291,5350,59849,2107,937653
National,X,2018,4,7.10601,7.11526,11915,16833,X,26739,8098,5566,69151,1947,971869
